country,year,female,male
Australia,2018,3.044061631,9.740997218
Australia,2019,3.220177633,9.873632888
Australia,2020,2.9428629710000003,9.29243089
Austria,1985,96.99,287.82
Austria,1986,98.65,303.15
Austria,1987,99.23,306.65
Austria,1988,83.41,274.23
Austria,1989,94.37,264.95
Austria,1990,87.31,266.47
Austria,1991,73.36,282.11
Austria,1992,74.04,267.7
Austria,1993,71.73,276.23
Austria,1994,76.36,267.26
Austria,1995,71.34,276.75
Austria,1996,70.1,272.55
Austria,1997,62.63,234.87
Austria,1998,57.73,231.65
Austria,1999,65.94,214.36
Austria,2000,63.94,225.83
Austria,2001,60.0,201.91
Austria,2002,51.88,225.04
Austria,2003,55.62,201.44
Austria,2004,49.09,204.95
Austria,2005,49.84,185.41
Austria,2006,43.120000000000005,175.78
Austria,2007,45.48,171.82999999999998
Austria,2008,41.98,174.47
Austria,2009,41.69,171.53
Austria,2010,39.71,167.84
Austria,2011,41.92,169.57000000000002
Austria,2012,39.84,166.79
Austria,2013,43.49,168.63
Austria,2014,44.12,165.70000000000002
Austria,2015,39.14,155.48
Austria,2016,37.6,145.63
Austria,2017,2.95536288,10.957576221
Austria,2018,2.929691588,10.745973004
Austria,2019,2.759033865,9.774862837
Austria,2020,2.624240989,9.397922857
Azerbaijan,1990,6.14,18.47
Azerbaijan,1991,6.15,26.08
Azerbaijan,1992,10.99,23.79
Azerbaijan,1993,9.35,22.17
Azerbaijan,1994,4.05,7.99
Azerbaijan,1995,1.9,12.38
Azerbaijan,1996,4.7700000000000005,13.06
Azerbaijan,1997,3.24,15.35
Azerbaijan,1998,4.08,6.59
Azerbaijan,1999,1.48,7.1000000000000005
Azerbaijan,2000,4.48,9.93
Azerbaijan,2001,18.66,41.39
Azerbaijan,2002,3.82,15.6
Azerbaijan,2003,8.6,18.47
Azerbaijan,2004,8.32,10.01
Azerbaijan,2007,2.32,9.51
Bahamas,1985,0.0,4.76
Bahamas,1987,0.0,13.59
Bahamas,1993,8.4,29.11
Bahamas,1994,0.0,10.6
Bahamas,1995,0.0,7.16
Bahamas,1996,0.0,9.82
Bahamas,1997,0.0,7.15
Bahamas,1998,0.0,11.09
Bahamas,1999,3.94,19.02
Bahamas,2000,10.35,30.31
Bahamas,2001,0.0,2.68
Bahamas,2002,0.0,9.97
Bahamas,2003,0.0,2.49
Bahamas,2004,0.0,5.93
Bahamas,2005,3.72,9.6
Bahamas,2006,0.0,5.640000000000001
Bahamas,2007,2.04,11.38
Bahamas,2008,0.0,12.49
Bahamas,2009,1.93,14.05
Bahamas,2010,12.15,46.17
Bahamas,2011,3.43,9.56
Bahamas,2012,1.84,10.0
Bahamas,2013,1.83,12.08
Bahrain,1985,3.72,16.4
Bahrain,1987,6.23,19.450000000000003
Bahrain,1988,3.24,21.56
Bahrain,1997,0.0,0.0
Bahrain,1998,0.0,0.0
Bahrain,1999,5.569999999999999,16.89
Bahrain,2000,1.88,30.85
Bahrain,2001,5.09,25.57
Bahrain,2002,10.75,16.93
Bahrain,2003,7.89,24.5
Bahrain,2004,9.74,44.47
Bahrain,2005,9.33,30.89
Bahrain,2006,13.56,13.62
Bahrain,2007,6.61,25.48
Bahrain,2008,8.67,19.22
Bahrain,2009,5.699999999999999,18.89
Bahrain,2010,3.79,8.1
Bahrain,2011,6.2700000000000005,8.69
Bahrain,2012,0.9,7.78
Bahrain,2013,0.0,2.49
Bahrain,2014,0.9,5.62
Barbados,1985,9.09,52.63
Barbados,1986,4.55,32.18
Barbados,1987,8.2,21.26
Barbados,1988,5.15,52.24
Barbados,1989,17.03,56.55
Barbados,1990,12.69,108.54
Barbados,1991,19.35,57.58
Barbados,1992,12.62,50.91
Barbados,1993,5.29,85.64
Barbados,1994,18.27,48.81
Barbados,1995,20.73,51.56
Barbados,2000,4.96,32.17
Barbados,2001,0.0,8.65
Barbados,2002,0.0,0.0
Barbados,2003,0.0,0.0
Barbados,2004,0.0,7.79
Barbados,2005,0.0,2.58
Barbados,2006,0.0,45.38
Barbados,2007,0.0,0.0
Barbados,2008,2.31,0.0
Barbados,2009,0.0,28.8
Barbados,2010,0.0,7.62
Barbados,2011,0.0,0.0
Barbados,2012,0.0,0.0
Barbados,2013,0.0,0.0
Belarus,1990,52.67,221.7
Belarus,1991,56.48,241.16
Belarus,1992,58.35,255.89
Belarus,1993,62.57,302.54
Belarus,1994,67.41,336.17
Belarus,1995,57.12,346.89
Belarus,1996,62.75,392.96
Belarus,1997,65.35,381.15
Belarus,1998,66.32,389.32
Belarus,1999,63.92,386.44
Belarus,2000,60.29,387.01
Belarus,2001,59.28,360.37
Belarus,2002,59.79,351.21
Belarus,2003,63.71,381.15
Belarus,2007,52.59,303.3
Belarus,2008,52.17,299.99
Belarus,2009,58.39,317.15000000000003
Belarus,2010,46.17,285.81
Belarus,2011,45.13,254.23
Belarus,2013,40.04,233.28
Belarus,2014,33.17,219.74
Belarus,2017,0.0,0.0
Belarus,2018,3.676320628,15.468092557
Belarus,2019,0.0,0.0
Belarus,2020,0.0,0.0
Belgium,1985,91.62,240.42
Belgium,1986,82.34,232.35
Belgium,1987,84.65,243.11
Belgium,1988,77.03,206.77
Belgium,1989,68.67,216.18
Belgium,1990,70.5,206.61
Belgium,1991,60.67,203.35
Belgium,1992,67.08,198.8
Belgium,1993,69.57,230.9
Belgium,1994,67.01,233.39
Belgium,1995,68.94,216.96
Belgium,1996,61.62,205.92
Belgium,1997,64.6,220.14
Belgium,1998,61.74,203.0
Belgium,1999,53.43,177.27
Belgium,2000,65.69,202.11
Belgium,2001,62.64,198.58
Belgium,2002,59.14,188.72
Belgium,2003,57.89,190.84
Belgium,2004,54.86,176.2
Belgium,2005,55.17,176.58
Belgium,2006,53.71,161.19
Belgium,2007,52.83,155.74
Belgium,2008,54.46,167.07999999999998
Belgium,2009,53.65,164.70000000000002
Belgium,2010,53.89,166.29
Belgium,2011,57.65,169.06
Belgium,2012,50.84,166.29
Belgium,2013,50.66,150.89
Belgium,2014,52.84,149.01
Belgium,2015,52.21,144.45000000000002
Belgium,2017,4.307632474,10.856992052
Belgium,2018,4.463092587,11.227740764
Belgium,2019,0.0,0.0
Belgium,2020,0.0,0.0
Belize,1986,5.62,13.75
Belize,1987,0.0,31.41
Belize,1989,0.0,5.16
Belize,1990,4.98,24.72
Belize,1991,0.0,23.93
Belize,1993,0.0,6.49
Belize,1994,52.3,112.43
Belize,1995,4.29,139.68
Belize,1996,0.0,61.290000000000006
Belize,1997,0.0,5.77
Belize,1998,5.63,76.15
Belize,1999,0.0,83.72
Belize,2000,18.3,142.5
Belize,2001,8.83,142.87
Belize,2002,19.94,49.68
Belize,2003,16.43,42.57
Belize,2004,13.14,104.24
Belize,2005,3.51,42.59
Belize,2006,6.15,31.77
Belize,2007,6.8100000000000005,71.68
Belize,2008,4.14,82.22
Belize,2009,13.45,44.31
Belize,2010,6.09,55.39
Belize,2011,14.78,138.52
Belize,2012,5.77,67.68
Belize,2013,2.81,53.59
Belize,2014,16.78,74.17
Belize,2015,15.13,120.33
Bosnia and Herzegovina,2011,0.0,1.31
Bosnia and Herzegovina,2014,22.02,87.48
Brazil,1985,13.08,46.1
Brazil,1986,13.36,43.8
Brazil,1987,13.32,56.8
Brazil,1988,14.75,50.61
Brazil,1989,13.01,51.01
Brazil,1990,13.43,53.63
Brazil,1991,13.12,55.22
Brazil,1992,11.97,52.95
Brazil,1993,11.65,56.21
Brazil,1994,12.39,59.12
Brazil,1995,13.18,62.06
Brazil,1996,13.33,60.0
Brazil,1997,12.51,64.29
Brazil,1998,13.0,62.05
Brazil,1999,10.14,57.51
Brazil,2000,11.43,56.8
Brazil,2001,11.73,61.76
Brazil,2002,13.24,56.53
Brazil,2003,11.87,56.2
Brazil,2004,12.18,58.04
Brazil,2005,12.55,61.05
Brazil,2006,11.96,57.94
Brazil,2007,12.25,59.43
Brazil,2008,12.33,59.88
Brazil,2009,11.93,58.44
Brazil,2010,13.38,59.35
Brazil,2011,13.02,59.39
Brazil,2012,13.87,60.580000000000005
Brazil,2013,13.56,59.85
Brazil,2014,13.24,59.89
Brazil,2015,14.06,63.39
Brazil,2017,1.510275822,3.134697611
Brazil,2018,1.533069537,3.124664076
Brazil,2019,1.578975615,3.091845791
Brazil,2020,0.0,0.0
Brunei Darussalam,2017,0.0,2.556498619
Brunei Darussalam,2018,0.6908081070000001,2.30269369
Brunei Darussalam,2019,0.0,1.826283878
Brunei Darussalam,2020,0.0,0.0
Bulgaria,1985,78.77,224.35
Bulgaria,1986,80.15,195.33
Bulgaria,1987,79.21,229.19
Bulgaria,1988,79.33,213.16
Bulgaria,1989,74.8,217.39
Bulgaria,1990,71.85,184.58
Bulgaria,1991,62.57,206.37
Bulgaria,1992,78.44,232.16
Bulgaria,1993,82.80000000000001,195.56
Bulgaria,1994,74.64,213.75
Bulgaria,1995,72.46,205.39
Bulgaria,1996,74.39,221.81
Bulgaria,1997,78.44,197.92
Bulgaria,1998,86.36,218.25
Bulgaria,1999,57.83,192.88
Bulgaria,2000,66.89999999999999,192.32
Bulgaria,2001,63.88,180.74
Bulgaria,2002,58.71,188.64
Bulgaria,2003,49.11,158.54000000000002
Bulgaria,2004,41.18,142.94
Bulgaria,2005,43.65,134.41
Bulgaria,2006,38.56,147.97
Bulgaria,2007,40.1,133.67
Bulgaria,2008,39.56,130.78
Bulgaria,2009,33.73,120.69
Bulgaria,2010,33.14,125.11
Bulgaria,2011,25.98,107.54
Bulgaria,2012,33.38,130.79
Bulgaria,2013,24.93,109.23
Bulgaria,2014,30.31,109.46
Bulgaria,2017,2.331843357,7.532560659
Bulgaria,2018,2.064046068,7.074695835
Bulgaria,2019,1.763248483,6.450909082999999
Bulgaria,2020,0.0,0.0
Cabo Verde,2011,15.92,117.92
Canada,1985,32.47,133.99
Canada,1986,37.61,152.5
Canada,1987,37.18,142.15
Canada,1988,34.83,140.55
Canada,1989,34.75,136.23
Canada,1990,29.98,135.04
Canada,1991,29.83,137.95
Canada,1992,31.53,132.07
Canada,1993,32.36,131.66
Canada,1994,30.18,131.73
Canada,1995,30.43,133.09
Canada,1996,30.29,132.6
Canada,1997,28.6,122.83
Canada,1998,29.51,120.61
Canada,1999,30.29,128.15
Canada,2000,28.1,110.9
Canada,2001,28.73,108.7
Canada,2002,27.53,110.2
Canada,2003,28.91,108.36
Canada,2004,29.15,102.51
Canada,2005,30.23,103.61
Canada,2006,27.32,99.11
Canada,2007,29.14,98.31
Canada,2008,29.24,98.35
Canada,2009,28.76,101.91
Canada,2010,30.79,101.88
Canada,2011,30.33,94.69
Canada,2012,29.71,98.17
Canada,2013,31.91,101.18
Canada,2017,2.859469836,9.555281021
Canada,2018,2.511797896,9.03275978
Canada,2019,2.537151045,9.294908704
Canada,2020,0.0,0.0
Chile,1985,12.9,96.01
Chile,1986,13.03,77.91
Chile,1987,11.81,77.61
Chile,1988,12.19,82.71
Chile,1989,10.14,90.3
Chile,1990,11.18,80.68
Chile,1991,13.53,85.3
Chile,1992,8.04,70.84
Chile,1993,9.56,93.62
Chile,1994,9.24,86.1
Chile,1995,12.01,96.9
Chile,1996,10.95,84.76
Chile,1997,11.66,88.47
Chile,1998,12.67,97.1
Chile,1999,12.17,99.69
Chile,2000,16.87,132.31
Chile,2001,17.98,129.6
Chile,2002,20.32,128.96
Chile,2003,20.49,133.04999999999998
Chile,2004,20.55,135.14
Chile,2005,19.98,127.45
Chile,2006,20.72,134.34
Chile,2007,24.93,125.99
Chile,2008,29.35,138.53
Chile,2009,29.44,144.86
Chile,2010,25.76,137.12
Chile,2011,24.91,135.93
Chile,2012,21.67,126.74
Chile,2013,21.29,113.23
Chile,2014,19.96,117.41
Chile,2015,25.77,121.91
Chile,2017,1.687664755,8.547205371
Chile,2018,1.689708552,8.063545875
Chile,2019,0.0,0.0
Chile,2020,0.0,0.0
"China, Hong Kong SAR",2017,0.022417751,0.037744904
"China, Hong Kong SAR",2018,0.0,0.0
"China, Hong Kong SAR",2019,0.0,0.0
"China, Hong Kong SAR",2020,0.0,0.0
Colombia,1985,10.06,52.5
Colombia,1986,8.290000000000001,41.82
Colombia,1987,7.32,37.85
Colombia,1988,7.63,43.01
Colombia,1989,7.05,34.64
Colombia,1990,7.7,35.73
Colombia,1991,7.720000000000001,35.85
Colombia,1992,7.84,41.64
Colombia,1993,7.21,42.02
Colombia,1994,9.4,46.55
Colombia,1995,8.13,41.51
Colombia,1996,8.38,44.79
Colombia,1997,8.9,43.87
Colombia,1998,14.42,67.26
Colombia,1999,13.92,70.17999999999999
Colombia,2000,15.73,74.05
Colombia,2001,15.78,72.49
Colombia,2002,15.54,65.84
Colombia,2003,16.16,63.69
Colombia,2004,14.53,69.72
Colombia,2005,12.67,62.17
Colombia,2006,12.3,66.11
Colombia,2007,11.56,62.69
Colombia,2008,11.71,62.51
Colombia,2009,11.44,62.39
Colombia,2010,10.12,57.12
Colombia,2011,9.54,53.34
Colombia,2012,9.98,56.47
Colombia,2013,10.05,53.48
Colombia,2014,9.3,57.32
Colombia,2015,12.4,58.0
Colombia,2017,1.048567691,4.558270592
Colombia,2018,1.045113152,4.781138999
Colombia,2019,1.17160867,4.666509362
Colombia,2020,0.0,0.0
Costa Rica,1985,7.08,62.38
Costa Rica,1986,5.64,84.2
Costa Rica,1987,8.66,76.9
Costa Rica,1988,6.44,82.53999999999999
Costa Rica,1989,11.96,72.81
Costa Rica,1990,11.3,81.97
Costa Rica,1991,6.71,55.01
Costa Rica,1992,9.02,63.52
Costa Rica,1993,10.42,88.41
Costa Rica,1994,10.86,69.93
Costa Rica,1995,12.45,66.73
Costa Rica,1996,8.02,86.84
Costa Rica,1997,10.69,69.94
Costa Rica,1998,9.05,83.04
Costa Rica,1999,6.97,78.09
Costa Rica,2000,10.6,77.69
Costa Rica,2001,9.35,66.67999999999999
Costa Rica,2002,10.91,84.71
Costa Rica,2003,14.28,101.6
Costa Rica,2004,13.71,87.01
Costa Rica,2005,10.07,68.66
Costa Rica,2006,17.03,83.8
Costa Rica,2007,11.29,64.06
Costa Rica,2008,11.06,61.21
Costa Rica,2009,10.38,66.99
Costa Rica,2010,10.2,74.15
Costa Rica,2011,13.94,75.89
Costa Rica,2012,9.7,71.06
Costa Rica,2013,9.93,79.33
Costa Rica,2014,12.39,58.46
Costa Rica,2017,1.10135643,4.525573696
Costa Rica,2018,1.527555313,6.229251533
Costa Rica,2019,1.022709661,6.509940343
Costa Rica,2020,1.444436529,5.406877275
Croatia,1995,66.19,239.35
Croatia,1996,74.22,260.57
Croatia,1997,79.03,234.67
Croatia,1998,78.27,266.03
Croatia,1999,73.83,253.45
Croatia,2000,71.89,250.86
Croatia,2001,62.14,225.4
Croatia,2002,67.74,236.38
Croatia,2003,51.6,230.09
Croatia,2004,60.35,241.89
Croatia,2005,59.82,209.75
Croatia,2006,57.81,190.41
Croatia,2007,53.17,190.28
Croatia,2008,49.53,216.16
Croatia,2009,47.06,207.23
Croatia,2010,50.27,191.7
Croatia,2011,46.57,174.54
Croatia,2012,47.46,191.55
Croatia,2013,37.39,172.91
Croatia,2014,48.260000000000005,173.78
Croatia,2015,51.63,178.04999999999998
Croatia,2016,41.870000000000005,171.69
Croatia,2017,3.854983755,11.516460902
Croatia,2018,0.0,0.0
Croatia,2019,2.951845801,11.364606335
Croatia,2020,0.0,0.0
Cuba,1992,128.84,240.87
Cuba,1993,134.3,258.63
Cuba,1994,110.11,253.2
Cuba,1995,106.6,246.16
Cuba,1996,88.04,228.19
Cuba,1997,82.45,234.95
Cuba,1998,86.88,240.1
Cuba,1999,75.96000000000001,230.16
Cuba,2000,67.87,204.9
Cuba,2001,56.19,188.32
Cuba,2002,60.07,180.35
Cuba,2003,47.1,174.01999999999998
Cuba,2004,44.76,171.36
Cuba,2005,44.93,161.01
Cuba,2006,34.11,168.44
Cuba,2007,34.98,153.2
Cuba,2008,36.31,154.68
Cuba,2009,38.48,162.85
Cuba,2010,37.27,164.86
Cuba,2011,36.88,170.17000000000002
Cuba,2012,35.49,168.51
Cuba,2013,34.68,155.78
Cuba,2014,34.22,150.41
Cuba,2015,34.07,160.24
Cuba,2017,2.999187132,10.832358231
Cuba,2018,2.736522977,10.487062248
Cuba,2019,2.288653659,10.656819741
Cuba,2020,0.0,0.0
Cyprus,1999,0.0,1.57
Cyprus,2000,0.0,8.36
Cyprus,2004,2.81,6.359999999999999
Cyprus,2005,7.140000000000001,17.6
Cyprus,2006,8.87,18.77
Cyprus,2007,5.68,30.49
Cyprus,2008,11.95,47.120000000000005
Cyprus,2009,10.35,45.18
Cyprus,2010,9.27,49.61
Cyprus,2011,7.55,36.23
Cyprus,2012,2.13,40.77
Cyprus,2013,4.34,60.27
Cyprus,2014,17.16,39.94
Cyprus,2015,10.48,39.11
Cyprus,2016,5.06,42.09
Cyprus,2017,0.413728162,2.399623341
Cyprus,2018,0.574320803,2.789558191
Cyprus,2019,0.0,0.0
Cyprus,2020,0.0,0.0
Czech Republic,1990,77.58,236.64
Czech Republic,1991,68.2,223.81
Czech Republic,1992,68.48,234.73
Czech Republic,1993,70.95,226.69
Czech Republic,1994,71.89,221.39
Czech Republic,1995,62.52,201.88
Czech Republic,1996,49.31,194.17
Czech Republic,1997,44.27,189.86
Czech Republic,1998,43.81,182.89
Czech Republic,1999,41.95,194.98
Czech Republic,2000,42.6,184.04
Czech Republic,2001,38.69,182.23
Czech Republic,2002,39.81,172.34
Czech Republic,2003,43.28,191.6
Czech Republic,2004,35.82,167.2
Czech Republic,2005,33.34,160.06
Czech Republic,2006,28.04,150.36
Czech Republic,2007,27.07,143.71
Czech Republic,2008,27.44,147.57
Czech Republic,2009,25.89,153.82
Czech Republic,2010,27.76,147.86
Czech Republic,2011,28.01,158.23
Czech Republic,2012,29.05,167.18
Czech Republic,2013,29.13,156.94
Czech Republic,2014,31.65,143.64
Czech Republic,2015,28.34,142.53
Czech Republic,2016,26.72,135.04
Czech Republic,2017,2.727846442,10.458317846
Czech Republic,2018,2.351850361,10.366956389
Czech Republic,2019,2.267643816,8.892537109
Czech Republic,2020,2.00974812,9.431794663
Denmark,1994,75.42,177.8
Denmark,1995,69.02,170.11
Denmark,1996,57.13,172.43
Denmark,1997,58.92,159.54
Denmark,1998,47.88,140.8
Denmark,1999,42.0,141.09
Denmark,2000,44.6,136.47
Denmark,2001,49.63,136.54
Denmark,2002,42.14,134.37
Denmark,2003,34.160000000000004,122.54
Denmark,2004,40.0,121.78
Denmark,2005,39.2,125.03
Denmark,2006,37.47,124.61
Denmark,2007,38.6,101.36
Denmark,2008,37.34,105.71
Denmark,2009,32.89,111.81
Denmark,2010,31.200000000000003,98.82
Denmark,2011,31.47,94.86
Denmark,2012,31.98,111.23
Denmark,2013,33.8,100.75
Denmark,2014,34.02,103.71
Denmark,2015,36.32,85.1
Denmark,2017,2.862108801,7.250675631
Denmark,2018,2.72713025,7.352895488
Denmark,2019,0.0,0.0
Denmark,2020,0.0,0.0
Dominica,1985,0.0,0.0
Dominican Republic,2017,1.108268018,4.987206079
Dominican Republic,2018,1.263291147,5.341120656999999
Dominican Republic,2019,0.0,0.0
Dominican Republic,2020,0.0,0.0
Ecuador,1985,19.51,63.01
Ecuador,1986,24.87,51.67
Ecuador,1987,16.94,45.59
Ecuador,1988,19.51,55.78
Ecuador,1989,21.99,48.39
Ecuador,1990,18.95,41.53
Ecuador,1991,21.59,45.37
Ecuador,1992,20.71,55.09
Ecuador,1993,24.59,46.32
Ecuador,1994,17.66,50.01
Ecuador,1995,18.72,49.5
Ecuador,1996,20.81,55.53
Ecuador,1997,18.16,48.86
Ecuador,1998,17.63,44.44
Ecuador,1999,18.22,53.71
Ecuador,2000,15.61,41.56
Ecuador,2001,17.62,49.62
Ecuador,2002,15.81,45.61
Ecuador,2003,21.44,49.12
Ecuador,2004,22.13,62.26
Ecuador,2005,22.2,74.53
Ecuador,2006,25.99,67.08
Ecuador,2007,22.96,73.01
Ecuador,2008,20.82,74.47
Ecuador,2009,23.05,71.2
Ecuador,2010,22.1,59.39
Ecuador,2011,20.98,60.82
Ecuador,2012,20.81,64.07
Ecuador,2013,14.49,48.39
Ecuador,2014,12.56,53.46
Ecuador,2015,20.63,76.76
Ecuador,2017,1.443377902,5.647740089
Ecuador,2018,1.5632647359999998,5.612473018
Ecuador,2019,1.418379196,5.465949099
Ecuador,2020,1.245125037,4.844048089
Egypt,2017,0.014736311,0.051085876
Egypt,2018,0.0221706469999999,0.060728297
Egypt,2019,0.017042441,0.051127324
Egypt,2020,0.0,0.0
El Salvador,1990,44.91,139.55
El Salvador,1991,33.45,137.85
El Salvador,1992,33.91,86.71
El Salvador,1993,38.24,85.45
El Salvador,1995,41.18,118.01
El Salvador,1996,32.34,112.82
El Salvador,1997,40.8,99.2
El Salvador,1998,31.69,91.14
El Salvador,1999,32.88,95.08
El Salvador,2000,32.160000000000004,78.39
El Salvador,2001,32.1,97.61
El Salvador,2002,24.39,88.80000000000001
El Salvador,2003,26.59,102.33
El Salvador,2004,21.96,89.6
El Salvador,2005,25.54,90.19
El Salvador,2006,22.15,77.42
El Salvador,2007,22.19,104.95
El Salvador,2008,20.78,105.04
El Salvador,2009,21.82,102.3
El Salvador,2010,17.73,80.19
El Salvador,2011,22.23,93.23
El Salvador,2012,20.98,102.16
El Salvador,2013,16.509999999999998,99.55
El Salvador,2014,24.61,77.23
El Salvador,2017,0.973406222,3.287240687
El Salvador,2018,0.732910986,2.9635096360000004
El Salvador,2019,0.0,0.0
El Salvador,2020,0.0,0.0
Estonia,1995,101.79,441.4
Estonia,1996,100.35,428.37
Estonia,1997,76.28,425.78
Estonia,1998,67.19,360.33
Estonia,1999,83.19,403.28
Estonia,2000,68.88,295.76
Estonia,2001,82.86,288.82
Estonia,2002,59.48,298.82
Estonia,2003,58.5,279.74
Estonia,2004,50.75,248.71
Estonia,2005,47.29,209.14
Estonia,2006,51.61,191.02
Estonia,2007,39.24,225.81
Estonia,2008,44.98,199.59
Estonia,2009,42.61,206.06
Estonia,2010,36.58,192.49
Estonia,2011,33.52,195.74
Estonia,2012,41.92,199.69
Estonia,2013,40.81,191.11
Estonia,2014,40.13,218.78
Estonia,2015,28.64,176.74
Estonia,2017,4.099032629,13.056178001
