country,year,age,data_id,sex,suicides_no,population,suicides/100k pop,generation,gdp_for_year,gdp_per_capita
Argentina,1998,75+ years,750,female,53,883724,6,G.I. Generation,"2,98,94,82,50,000",9126
Argentina,1999,15-24 years,760,male,355,3279728,10.82,Generation X,"2,83,52,30,00,000",8546
Argentina,1999,25-34 years,761,male,265,2543861,10.42,Generation X,"2,83,52,30,00,000",8546
Argentina,1999,35-54 years,764,female,141,4200203,3.36,Boomers,"2,83,52,30,00,000",8546
Argentina,1999,5-14 years,767,male,21,3482230,0.6,Millenials,"2,83,52,30,00,000",8546
Argentina,1999,55-74 years,762,female,137,2727054,5.02,Silent,"2,83,52,30,00,000",8546
Argentina,1999,75+ years,763,female,44,912898,4.82,G.I. Generation,"2,83,52,30,00,000",8546
Argentina,2000,15-24 years,777,female,116,3249247,3.57,Generation X,"2,84,20,37,50,000",8462
Argentina,2000,25-34 years,778,female,63,2617723,2.41,Generation X,"2,84,20,37,50,000",8462
Argentina,2000,35-54 years,776,female,174,4253771,4.09,Boomers,"2,84,20,37,50,000",8462
Argentina,2000,5-14 years,779,female,21,3396135,0.62,Millenials,"2,84,20,37,50,000",8462
Argentina,2000,55-74 years,774,female,133,2760512,4.82,Silent,"2,84,20,37,50,000",8462
Argentina,2000,75+ years,775,female,43,941957,4.56,G.I. Generation,"2,84,20,37,50,000",8462
Argentina,2001,15-24 years,787,female,166,3262682,5.09,Millenials,"2,68,69,67,50,000",7900
Argentina,2001,25-34 years,790,female,82,2690206,3.05,Generation X,"2,68,69,67,50,000",7900
Argentina,2001,35-54 years,789,female,210,4306817,4.88,Boomers,"2,68,69,67,50,000",7900
Argentina,2001,5-14 years,791,male,29,3519935,0.82,Millenials,"2,68,69,67,50,000",7900
Argentina,2001,55-74 years,788,female,137,2788628,4.91,Silent,"2,68,69,67,50,000",7900
Argentina,2001,75+ years,786,female,57,978346,5.83,Silent,"2,68,69,67,50,000",7900
Argentina,2002,15-24 years,800,female,158,3263542,4.84,Millenials,"97,72,40,04,252",2840
Argentina,2002,25-34 years,802,female,91,2772560,3.28,Generation X,"97,72,40,04,252",2840
Argentina,2002,35-54 years,801,female,194,4355651,4.45,Boomers,"97,72,40,04,252",2840
Argentina,2002,5-14 years,804,female,23,3418842,0.67,Millenials,"97,72,40,04,252",2840
Argentina,2002,55-74 years,794,male,615,2387478,25.76,Silent,"97,72,40,04,252",2840
Argentina,2002,75+ years,799,female,58,1012399,5.73,Silent,"97,72,40,04,252",2840
Argentina,2003,15-24 years,811,female,179,3258029,5.49,Millenials,"1,27,58,69,73,492",3668
Argentina,2003,25-34 years,814,female,69,2859003,2.41,Generation X,"1,27,58,69,73,492",3668
Argentina,2003,35-54 years,813,female,196,4402438,4.45,Boomers,"1,27,58,69,73,492",3668
Argentina,2003,5-14 years,815,male,37,3531507,1.05,Millenials,"1,27,58,69,73,492",3668
Argentina,2003,55-74 years,812,female,147,2854473,5.15,Silent,"1,27,58,69,73,492",3668
Argentina,2003,75+ years,810,female,68,1044188,6.51,Silent,"1,27,58,69,73,492",3668
Argentina,2004,15-24 years,819,male,653,3333328,19.59,Millenials,"1,64,65,79,30,453",4683
Argentina,2004,25-34 years,826,female,99,2940630,3.37,Generation X,"1,64,65,79,30,453",4683
Argentina,2004,35-54 years,825,female,185,4450210,4.16,Boomers,"1,64,65,79,30,453",4683
Argentina,2004,5-14 years,828,female,25,3416244,0.73,Millenials,"1,64,65,79,30,453",4683
Argentina,2004,55-74 years,818,male,500,2459960,20.33,Silent,"1,64,65,79,30,453",4683
Argentina,2004,75+ years,817,male,227,593409,38.25,Silent,"1,64,65,79,30,453",4683
Argentina,2005,15-24 years,836,female,148,3260468,4.54,Millenials,"1,98,73,70,95,012",5590
Argentina,2005,25-34 years,838,female,104,3011376,3.45,Generation X,"1,98,73,70,95,012",5590
Argentina,2005,35-54 years,837,female,171,4500787,3.8,Boomers,"1,98,73,70,95,012",5590
Argentina,2005,5-14 years,840,female,21,3413809,0.62,Millenials,"1,98,73,70,95,012",5590
Argentina,2005,55-74 years,834,female,161,2943135,5.47,Silent,"1,98,73,70,95,012",5590
Argentina,2005,75+ years,835,female,59,1101024,5.36,Silent,"1,98,73,70,95,012",5590
Argentina,2006,15-24 years,846,female,175,3271703,5.35,Millenials,"2,32,55,72,60,817",6475
Argentina,2006,25-34 years,849,female,105,3070419,3.42,Generation X,"2,32,55,72,60,817",6475
Argentina,2006,35-54 years,848,female,160,4549471,3.52,Boomers,"2,32,55,72,60,817",6475
Argentina,2006,5-14 years,852,female,26,3412126,0.76,Millenials,"2,32,55,72,60,817",6475
Argentina,2006,55-74 years,847,female,115,2983954,3.85,Silent,"2,32,55,72,60,817",6475
Argentina,2006,75+ years,850,female,31,1132977,2.74,Silent,"2,32,55,72,60,817",6475
Argentina,2007,15-24 years,858,female,146,3292790,4.43,Millenials,"2,87,53,05,08,431",7918
Argentina,2007,25-34 years,859,female,126,3120162,4.04,Generation X,"2,87,53,05,08,431",7918
Argentina,2007,35-54 years,861,female,155,4601874,3.37,Boomers,"2,87,53,05,08,431",7918
Argentina,2007,5-14 years,864,female,34,3414627,1,Generation Z,"2,87,53,05,08,431",7918
Argentina,2007,55-74 years,860,female,108,3033008,3.56,Silent,"2,87,53,05,08,431",7918
Argentina,2007,75+ years,862,female,31,1161794,2.67,Silent,"2,87,53,05,08,431",7918
Argentina,2008,15-24 years,866,male,625,3410092,18.33,Millenials,"3,61,55,80,37,110",9843
Argentina,2008,25-34 years,868,male,531,3172743,16.74,Generation X,"3,61,55,80,37,110",9843
Argentina,2008,35-54 years,871,female,173,4660022,3.71,Boomers,"3,61,55,80,37,110",9843
Argentina,2008,5-14 years,876,female,20,3422263,0.58,Generation Z,"3,61,55,80,37,110",9843
Argentina,2008,55-74 years,867,male,463,2630686,17.6,Silent,"3,61,55,80,37,110",9843
Argentina,2008,75+ years,865,male,208,646185,32.19,Silent,"3,61,55,80,37,110",9843
Argentina,2009,15-24 years,878,male,609,3436265,17.72,Millenials,"3,32,97,64,84,578",8961
Argentina,2009,25-34 years,884,female,105,3189773,3.29,Generation X,"3,32,97,64,84,578",8961
Argentina,2009,35-54 years,885,female,150,4726814,3.17,Boomers,"3,32,97,64,84,578",8961
Argentina,2009,5-14 years,888,female,28,3434884,0.82,Generation Z,"3,32,97,64,84,578",8961
Argentina,2009,55-74 years,883,female,112,3148915,3.56,Silent,"3,32,97,64,84,578",8961
Argentina,2009,75+ years,886,female,25,1211934,2.06,Silent,"3,32,97,64,84,578",8961
Argentina,2010,15-24 years,890,male,683,3455127,19.77,Millenials,"4,23,62,74,22,092",11273
Argentina,2010,25-34 years,891,male,485,3237957,14.98,Generation X,"4,23,62,74,22,092",11273
Argentina,2010,35-54 years,893,male,573,4648068,12.33,Generation X,"4,23,62,74,22,092",11273
Argentina,2010,5-14 years,900,female,20,3450419,0.58,Generation Z,"4,23,62,74,22,092",11273
Argentina,2010,55-74 years,892,male,397,2740656,14.49,Silent,"4,23,62,74,22,092",11273
Argentina,2010,75+ years,889,male,206,657096,31.35,Silent,"4,23,62,74,22,092",11273
Argentina,2011,15-24 years,906,female,172,3372659,5.1,Millenials,"5,30,16,32,81,575",13946
Argentina,2011,25-34 years,908,female,102,3224774,3.16,Millenials,"5,30,16,32,81,575",13946
Argentina,2011,35-54 years,907,female,157,4893085,3.21,Generation X,"5,30,16,32,81,575",13946
Argentina,2011,5-14 years,912,male,28,3592374,0.78,Generation Z,"5,30,16,32,81,575",13946
Argentina,2011,55-74 years,909,female,93,3268753,2.85,Boomers,"5,30,16,32,81,575",13946
Argentina,2011,75+ years,910,female,30,1260121,2.38,Silent,"5,30,16,32,81,575",13946
Argentina,2012,15-24 years,918,female,204,3380770,6.03,Millenials,"5,45,98,23,75,701",14203
Argentina,2012,25-34 years,915,male,616,3268154,18.85,Millenials,"5,45,98,23,75,701",14203
Argentina,2012,35-54 years,917,male,554,4841057,11.44,Generation X,"5,45,98,23,75,701",14203
Argentina,2012,5-14 years,924,female,17,3494571,0.49,Generation Z,"5,45,98,23,75,701",14203
Argentina,2012,55-74 years,916,male,451,2839783,15.88,Boomers,"5,45,98,23,75,701",14203
Argentina,2012,75+ years,913,male,225,688560,32.68,Silent,"5,45,98,23,75,701",14203
Argentina,2013,15-24 years,930,female,167,3384642,4.93,Millenials,"5,52,02,51,40,252",14206
Argentina,2013,25-34 years,931,female,102,3226464,3.16,Millenials,"5,52,02,51,40,252",14206
Argentina,2013,35-54 years,932,female,157,5099167,3.08,Generation X,"5,52,02,51,40,252",14206
Argentina,2013,5-14 years,936,male,33,3637026,0.91,Generation Z,"5,52,02,51,40,252",14206
Argentina,2013,55-74 years,928,male,398,2894129,13.75,Boomers,"5,52,02,51,40,252",14206
Argentina,2013,75+ years,934,female,29,1303352,2.23,Silent,"5,52,02,51,40,252",14206
Argentina,2014,15-24 years,942,female,204,3388324,6.02,Millenials,"5,26,31,96,73,732",13400
