country,year,age,suicides/100k pop
Canada,2010,25-34 years,23.87
Canada,2010,35-54 years,33.36
Canada,2010,5-14 years,1.7
Canada,2010,55-74 years,27.45
Canada,2010,75+ years,25.43
Canada,2011,15-24 years,21.45
Canada,2011,25-34 years,22.729999999999997
Canada,2011,35-54 years,29.96
Canada,2011,5-14 years,1.67
Canada,2011,55-74 years,25.689999999999998
Canada,2011,75+ years,23.52
Canada,2012,15-24 years,22.22
Canada,2012,25-34 years,22.6
Canada,2012,35-54 years,31.5
Canada,2012,5-14 years,1.8199999999999998
Canada,2012,55-74 years,27.89
Canada,2012,75+ years,21.85
Canada,2013,15-24 years,18.799999999999997
Canada,2013,25-34 years,23.42
Canada,2013,35-54 years,32.71
Canada,2013,5-14 years,1.8800000000000001
Canada,2013,55-74 years,28.36
Canada,2013,75+ years,27.919999999999998
Canada,2017,15-24 years,1.4967751200000001
Canada,2017,25-34 years,1.860707644
Canada,2017,35-54 years,5.08684634
Canada,2017,5-14 years,0.098508051
Canada,2017,55-74 years,3.081112953
Canada,2017,75+ years,0.790800749
Canada,2018,15-24 years,1.4541987809999999
Canada,2018,25-34 years,1.5594191020000001
Canada,2018,35-54 years,4.89409386
Canada,2018,5-14 years,0.12410601799999998
Canada,2018,55-74 years,2.813969071
Canada,2018,75+ years,0.698770844
Canada,2019,15-24 years,1.345700659
Canada,2019,25-34 years,1.7898350660000002
Canada,2019,35-54 years,4.818991294
Canada,2019,5-14 years,0.085103599
Canada,2019,55-74 years,3.092983926
Canada,2019,75+ years,0.699445205
Canada,2020,15-24 years,0.0
Canada,2020,25-34 years,0.0
Canada,2020,35-54 years,0.0
Canada,2020,5-14 years,0.0
Canada,2020,55-74 years,0.0
Canada,2020,75+ years,0.0
