country,year,suicides/100k pop,gdp_per_capita
Argentina,2013,28.06,14206.0
Argentina,2014,19.419999999999998,13400.0
Argentina,2015,17.259999999999998,14981.0
Argentina,2017,4.593049565,14613.04182
Argentina,2018,5.598444499,11795.15939
Argentina,2019,5.592060583,10056.63794
Armenia,1990,13.83,756.0
Armenia,1991,34.22,640.0
Armenia,1992,31.509999999999998,385.0
Armenia,1993,30.94,357.0
Armenia,1994,23.4,387.0
Armenia,1995,35.71,426.0
Armenia,1996,17.79,458.0
Armenia,1997,22.81,465.0
Armenia,1998,12.33,532.0
Armenia,1999,16.93,515.0
Armenia,2000,16.79,530.0
Armenia,2001,10.3,587.0
Armenia,2002,5.3100000000000005,788.0
Armenia,2003,22.369999999999997,928.0
Armenia,2006,15.52,2310.0
Armenia,2007,9.98,3366.0
Armenia,2008,21.98,3829.0
Armenia,2009,29.18,3215.0
Armenia,2010,21.57,3460.0
Armenia,2011,22.64,3798.0
Armenia,2012,20.03,3773.0
Armenia,2013,18.669999999999998,3957.0
Armenia,2014,28.15,4142.0
Armenia,2015,36.019999999999996,3775.0
Armenia,2016,31.89,3788.0
Armenia,2017,1.3324342900000001,3914.527854
Armenia,2018,1.656938324,4220.540321
Armenia,2019,1.524497252,4604.646324
Aruba,1995,308.51,17949.0
Aruba,1999,115.47,21027.0
Aruba,2000,191.42,22333.0
Aruba,2001,27.28,22317.0
Aruba,2002,126.46000000000001,21987.0
Aruba,2003,12.93,22345.0
Aruba,2004,176.72,24133.0
Aruba,2005,59.919999999999995,24870.0
Aruba,2006,77.66,25622.0
Aruba,2007,79.10000000000001,27672.0
Aruba,2008,35.94,29447.0
Aruba,2009,42.230000000000004,26361.0
Aruba,2010,48.83,25974.0
Aruba,2011,59.86,27066.0
Australia,1985,127.12,12374.0
Australia,1986,106.67999999999999,12288.0
Australia,1987,116.87,12564.0
Australia,1988,142.82,15393.0
Australia,1989,135.62,19223.0
Australia,1990,138.33,19665.0
Australia,1991,125.19,20320.0
Australia,1992,115.2,20050.0
Australia,1993,126.75,19030.0
Australia,1994,118.87,19469.0
Australia,1995,30.84,21902.0
Australia,1996,48.81,23526.0
Australia,1997,131.55,25234.0
Australia,1998,48.97,22897.0
Australia,1999,29.6,22016.0
Australia,2000,31.34,23219.0
Australia,2001,31.52,20860.0
Australia,2002,103.83,21474.0
Australia,2003,26.95,25059.0
Australia,2004,26.85,32454.0
Australia,2006,56.75,39014.0
Australia,2007,101.25,43171.0
Australia,2008,26.2,52315.0
Australia,2009,29.52,45128.0
Australia,2010,103.38,54887.0
Australia,2011,39.65,66770.0
Australia,2012,61.59,72669.0
Australia,2013,46.74,72856.0
Australia,2014,95.21000000000001,66809.0
Australia,2015,46.03,60656.0
Australia,2017,5.273600664,53934.25018
Australia,2018,5.042728413,57180.7794
Australia,2019,3.6424313170000002,54875.28596
Australia,2020,3.4651724259999996,51692.84275
Austria,1985,121.58,9759.0
Austria,1986,98.65,13911.0
Austria,1987,306.65,17415.0
Austria,1988,83.41,18663.0
Austria,1989,196.36,18544.0
Austria,1990,87.07,23020.0
Austria,1991,73.78999999999999,23808.0
Austria,1992,247.67,26450.0
Austria,1993,86.96000000000001,25611.0
Austria,1994,267.53,27274.0
Austria,1995,276.75,32237.0
Austria,1996,111.39,31660.0
Austria,1997,234.87,28325.0
Austria,1998,58.54,28972.0
Austria,1999,214.35999999999999,28722.0
Austria,2000,140.15,25922.0
Austria,2001,201.92000000000002,25848.0
Austria,2002,225.06,27772.0
Austria,2003,201.44,33889.0
Austria,2004,204.95,38711.0
Austria,2005,75.28,40367.0
Austria,2006,175.78,42698.0
Austria,2007,143.26,49218.0
Austria,2008,49.739999999999995,54294.0
Austria,2009,68.25,50356.0
Austria,2010,39.71,49181.0
Austria,2011,42.37,53923.0
Austria,2012,39.84,50979.0
Austria,2013,42.98,53229.0
Austria,2014,165.7,54278.0
Austria,2015,39.13,46484.0
Austria,2016,50.43,46976.0
Austria,2017,8.706953719,47312.00623
Austria,2018,6.243975893,51461.43322
Austria,2019,5.754556347,50114.40111
Austria,2020,7.412920058,48586.80132
Azerbaijan,1990,8.34,1439.0
Azerbaijan,1991,26.22,1398.0
Azerbaijan,1992,13.51,784.0
Azerbaijan,1993,9.35,617.0
Azerbaijan,1994,5.54,508.0
Azerbaijan,1995,12.04,462.0
Azerbaijan,1996,5.2,476.0
Azerbaijan,1997,11.54,590.0
Azerbaijan,1998,7.48,631.0
Azerbaijan,1999,1.48,645.0
Azerbaijan,2000,7.890000000000001,711.0
Azerbaijan,2001,18.66,759.0
Azerbaijan,2002,4.27,820.0
Azerbaijan,2003,15.88,948.0
Azerbaijan,2004,8.32,1122.0
Azerbaijan,2007,2.64,4172.0
Bahamas,1985,4.76,11393.0
Bahamas,1987,13.59,12286.0
Bahamas,1993,29.11,12698.0
Bahamas,1994,10.6,13073.0
Bahamas,1995,7.16,13473.0
Bahamas,1996,9.82,14297.0
Bahamas,1997,7.15,24740.0
Bahamas,1998,11.09,26269.0
Bahamas,1999,10.74,29019.0
Bahamas,2000,40.66,29942.0
Bahamas,2001,2.68,30122.0
Bahamas,2002,9.969999999999999,31432.0
Bahamas,2003,2.49,30704.0
Bahamas,2004,5.93,30671.0
Bahamas,2005,9.6,32596.0
Bahamas,2006,5.640000000000001,32957.0
Bahamas,2007,11.38,33710.0
Bahamas,2008,12.49,32746.0
Bahamas,2009,14.05,30450.0
Bahamas,2010,49.33,30239.0
Bahamas,2011,12.99,29761.0
Bahamas,2012,10.0,31204.0
Bahamas,2013,12.08,30455.0
Bahrain,1985,16.4,9980.0
Bahrain,1987,22.04,9321.0
Bahrain,1988,21.56,9501.0
Bahrain,1999,14.76,11703.0
Bahrain,2000,30.85,15345.0
Bahrain,2001,13.26,14383.0
Bahrain,2002,11.41,14572.0
Bahrain,2003,23.88,15756.0
Bahrain,2004,43.8,17497.0
Bahrain,2005,24.42,19485.0
Bahrain,2006,18.23,20826.0
Bahrain,2007,25.48,22524.0
Bahrain,2008,23.15,25106.0
Bahrain,2009,14.8,20988.0
Bahrain,2010,6.17,22572.0
Bahrain,2011,8.55,26078.0
Bahrain,2012,4.04,25587.0
Bahrain,2013,2.49,26793.0
Bahrain,2014,5.62,27503.0
Barbados,1985,57.17,6137.0
Barbados,1986,32.18,6720.0
Barbados,1987,24.509999999999998,7333.0
Barbados,1988,49.76,7763.0
Barbados,1989,61.08,8541.0
Barbados,1990,98.16,8537.0
Barbados,1991,64.89,8469.0
Barbados,1992,50.91,8129.0
Barbados,1993,85.64,8540.0
Barbados,1994,41.6,8953.0
Barbados,1995,45.74,9378.0
Barbados,2000,32.17,12430.0
Barbados,2001,8.65,12348.0
Barbados,2004,7.79,13786.0
Barbados,2005,2.58,15230.0
Barbados,2006,45.379999999999995,16531.0
Barbados,2008,2.31,17760.0
Barbados,2009,28.8,17007.0
Barbados,2010,7.62,17034.0
Belarus,1990,52.67,2301.0
Belarus,1991,199.94,1899.0
Belarus,1992,89.08,1780.0
Belarus,1993,62.57,1689.0
Belarus,1994,67.41,1547.0
Belarus,1995,267.54,1444.0
Belarus,1996,88.24000000000001,1524.0
Belarus,1997,151.87,1458.0
Belarus,1998,334.26,1570.0
Belarus,1999,144.98,1269.0
Belarus,2000,120.58,1335.0
Belarus,2001,360.37,1299.0
Belarus,2002,351.21,1541.0
Belarus,2003,65.01,1892.0
Belarus,2007,113.49000000000001,4898.0
Belarus,2008,78.93,6601.0
Belarus,2009,133.74,5366.0
Belarus,2010,47.019999999999996,6371.0
Belarus,2011,145.41,6902.0
Belarus,2013,232.44,8477.0
Belarus,2014,33.17,8849.0
Belarus,2018,3.676320628,6360.062473000001
Belgium,1985,220.99,9356.0
Belgium,1986,155.53,12992.0
Belgium,1987,243.11,16165.0
Belgium,1988,206.76999999999998,17509.0
Belgium,1989,82.37,17659.0
Belgium,1990,188.54,22032.0
Belgium,1991,109.97999999999999,22523.0
Belgium,1992,129.22,25036.0
Belgium,1993,230.42000000000002,23875.0
Belgium,1994,233.39,25922.0
Belgium,1995,153.9,30394.0
Belgium,1996,147.39,29438.0
Belgium,1997,65.56,26609.0
Belgium,1998,186.19,27087.0
Belgium,1999,53.43,26969.0
Belgium,2000,65.69,24592.0
Belgium,2001,85.71,24494.0
Belgium,2002,145.49,26526.0
Belgium,2003,57.89,32538.0
Belgium,2004,54.86,37661.0
Belgium,2005,81.33,39124.0
Belgium,2006,53.36,41135.0
Belgium,2007,144.42000000000002,47040.0
Belgium,2008,54.1,51345.0
Belgium,2009,53.620000000000005,47630.0
Belgium,2010,94.84,47355.0
Belgium,2011,125.58,50893.0
Belgium,2012,50.82,47678.0
Belgium,2013,50.660000000000004,49489.0
Belgium,2014,53.459999999999994,50173.0
Belgium,2015,52.21,42830.0
Belgium,2017,4.887844196,44089.310090000006
Belgium,2018,4.935655332,47519.5531
Belize,1986,13.879999999999999,1552.0
Belize,1987,31.41,1920.0
Belize,1989,5.16,2372.0
Belize,1990,29.7,2614.0
Belize,1991,23.93,2742.0
Belize,1993,6.49,3278.0
Belize,1994,100.59,3399.0
Belize,1995,126.94999999999999,3436.0
Belize,1996,61.290000000000006,3545.0
Belize,1997,5.77,3487.0
Belize,1998,76.15,3531.0
Belize,1999,83.72,3615.0
Belize,2000,128.78,3960.0
Belize,2001,98.4,4013.0
Belize,2002,34.44,4161.0
Belize,2003,29.240000000000002,4289.0
Belize,2004,76.37,4449.0
Belize,2005,35.72,4547.0
Belize,2006,25.0,4815.0
Belize,2007,71.68,4951.0
Belize,2008,82.22,5098.0
Belize,2009,44.31,4841.0
Belize,2010,55.39,4923.0
Belize,2011,117.77000000000001,5098.0
Belize,2012,70.53999999999999,5264.0
Belize,2013,53.59,5272.0
Belize,2014,57.7,5448.0
Belize,2015,120.33,5561.0
Bosnia and Herzegovina,2011,1.31,5076.0
Bosnia and Herzegovina,2014,52.660000000000004,5079.0
Brazil,1985,46.14,1898.0
Brazil,1986,43.85,2257.0
Brazil,1987,13.33,2394.0
Brazil,1988,47.93,2628.0
Brazil,1989,51.06,3310.0
Brazil,1990,53.63,3516.0
Brazil,1991,55.22,4490.0
Brazil,1992,28.060000000000002,2924.0
Brazil,1993,56.21,3136.0
Brazil,1994,12.39,3925.0
Brazil,1995,62.06,5313.0
Brazil,1996,43.300000000000004,5771.0
Brazil,1997,43.32,5891.0
Brazil,1998,51.22,5663.0
Brazil,1999,50.72,3864.0
Brazil,2000,50.19,4156.0
Brazil,2001,30.27,3492.0
Brazil,2002,56.54,3121.0
Brazil,2003,56.2,3376.0
Brazil,2004,32.04,3984.0
Brazil,2005,53.9,5230.0
Brazil,2006,57.94,6403.0
Brazil,2007,38.95,7970.0
Brazil,2008,17.76,9555.0
Brazil,2009,58.44,9283.0
Brazil,2010,34.28,12161.0
Brazil,2011,59.39,14245.0
Brazil,2012,31.41,13283.0
Brazil,2013,42.17,13191.0
Brazil,2014,59.89,12975.0
Brazil,2015,63.39,9431.0
Brazil,2017,2.634469703,9928.675897
Brazil,2018,2.657891507,9151.381732
Brazil,2019,2.219254004,8897.552966
Brunei Darussalam,2017,2.556498619,28571.60829
Brunei Darussalam,2018,2.532963059,31628.476260000003
Brunei Darussalam,2019,1.826283878,31085.96193
Bulgaria,1985,78.77,2044.0
Bulgaria,1986,173.67000000000002,2413.0
Bulgaria,1987,80.35,3355.0
Bulgaria,1988,161.44,2688.0
Bulgaria,1989,74.8,2617.0
Bulgaria,1990,84.09,2451.0
Bulgaria,1991,104.19,1298.0
Bulgaria,1992,103.72999999999999,1287.0
Bulgaria,1993,96.65,1354.0
Bulgaria,1994,175.45999999999998,1213.0
Bulgaria,1995,205.26999999999998,1636.0
Bulgaria,1996,174.82999999999998,1270.0
Bulgaria,1997,188.69,1411.0
Bulgaria,1998,114.75999999999999,1852.0
Bulgaria,1999,158.57,1715.0
Bulgaria,2000,67.94,1680.0
Bulgaria,2001,103.0,1854.0
Bulgaria,2002,58.71,2157.0
Bulgaria,2003,49.03,2800.0
Bulgaria,2004,41.18,3485.0
Bulgaria,2005,43.65,4003.0
Bulgaria,2006,91.17,4638.0
Bulgaria,2007,40.099999999999994,6073.0
Bulgaria,2008,116.82,7487.0
Bulgaria,2009,70.52,7186.0
Bulgaria,2010,91.81,7066.0
Bulgaria,2011,92.55000000000001,8137.0
Bulgaria,2012,33.68,7745.0
Bulgaria,2013,51.26,8057.0
Bulgaria,2014,30.9,8241.0
Bulgaria,2017,2.360108125,8366.293221
Bulgaria,2018,2.0640460679999997,9446.700772
Bulgaria,2019,3.698521208,9879.268533
Cabo Verde,2011,76.83,4124.0
Canada,1985,77.24,15522.0
Canada,1986,37.61,16062.0
Canada,1987,37.18,18124.0
Canada,1988,35.89,21069.0
Canada,1989,101.48,23188.0
Canada,1990,117.19,24041.0
Canada,1991,49.58,24038.0
Canada,1992,131.19,22393.0
Canada,1993,32.36,21421.0
Canada,1994,31.39,21219.0
Canada,1995,75.34,21871.0
Canada,1996,30.29,22686.0
Canada,1997,28.6,23245.0
Canada,1998,119.98,22268.0
Canada,1999,51.51,23572.0
Canada,2000,28.099999999999998,25589.0
Canada,2001,28.73,25165.0
Canada,2002,82.41,25570.0
Canada,2003,46.61,29787.0
Canada,2004,44.85,33787.0
Canada,2005,85.22,38218.0
Canada,2006,41.519999999999996,42566.0
Canada,2007,29.14,46890.0
Canada,2008,29.24,49041.0
Canada,2009,88.28999999999999,42933.0
Canada,2010,49.22,49974.0
Canada,2011,74.12,54841.0
Canada,2012,29.71,55347.0
Canada,2013,43.910000000000004,55310.0
Canada,2017,7.533129625,45129.35644
Canada,2018,7.149585847000001,46548.52036
Canada,2019,8.888007121,46338.34096
Chile,1985,95.36,1658.0
Chile,1986,37.92,1728.0
Chile,1987,77.61,1985.0
Chile,1988,82.71,2303.0
Chile,1989,89.6,2599.0
Chile,1990,53.52,2828.0
Chile,1991,85.47,3187.0
Chile,1992,45.71000000000001,3791.0
Chile,1993,93.62,4006.0
Chile,1994,60.87,4551.0
Chile,1995,49.91,5695.0
Chile,1996,84.76,5946.0
Chile,1997,88.47,6368.0
Chile,1998,75.53999999999999,6023.0
Chile,1999,68.87,5470.0
Chile,2000,132.18,5584.0
Chile,2001,52.06,5020.0
Chile,2002,107.42999999999999,4866.0
Chile,2003,21.62,5208.0
Chile,2004,135.14,6744.0
Chile,2005,38.6,8256.0
Chile,2006,75.4,10270.0
Chile,2007,125.99000000000001,11387.0
Chile,2008,87.45,11653.0
Chile,2009,144.86,11062.0
Chile,2010,137.12,13874.0
Chile,2011,135.97,15854.0
Chile,2012,39.35,16617.0
Chile,2013,113.23,17140.0
Chile,2014,20.169999999999998,15883.0
Chile,2015,95.13,14729.0
Chile,2017,4.202829648,14998.81706
Chile,2018,7.277510568,15888.14436
"China, Hong Kong SAR",2017,0.028362395,8816.986905
Colombia,1985,20.150000000000002,1393.0
Colombia,1986,25.02,1366.0
Colombia,1987,12.44,1299.0
Colombia,1988,7.75,1369.0
Colombia,1989,7.050000000000001,1350.0
Colombia,1990,7.8100000000000005,1346.0
Colombia,1991,20.04,1348.0
Colombia,1992,7.82,1664.0
Colombia,1993,36.33,1845.0
Colombia,1994,32.74,2646.0
Colombia,1995,14.31,2796.0
Colombia,1996,8.38,2883.0
Colombia,1997,26.32,3106.0
Colombia,1998,60.92,2814.0
Colombia,1999,29.959999999999997,2419.0
Colombia,2000,34.42,2755.0
Colombia,2001,41.93,2662.0
Colombia,2002,15.22,2613.0
Colombia,2003,15.82,2489.0
Colombia,2004,14.530000000000001,3033.0
Colombia,2005,30.3,3742.0
Colombia,2006,32.980000000000004,4095.0
Colombia,2007,40.06,5150.0
Colombia,2008,39.07,5971.0
Colombia,2009,29.159999999999997,5643.0
Colombia,2010,34.33,6836.0
Colombia,2011,9.540000000000001,7885.0
Colombia,2012,9.98,8586.0
Colombia,2013,10.05,8731.0
Colombia,2014,42.58,8591.0
Colombia,2015,12.23,6552.0
Colombia,2017,2.816862317,6376.706716
Colombia,2018,3.762407346,6729.583331999999
Colombia,2019,2.789544452,6424.979492000001
Costa Rica,1985,49.17,2145.0
Costa Rica,1986,84.2,2389.0
Costa Rica,1987,51.53,2433.0
Costa Rica,1988,78.19999999999999,2460.0
Costa Rica,1989,24.43,2686.0
Costa Rica,1990,11.3,2817.0
Costa Rica,1991,31.189999999999998,2651.0
Costa Rica,1992,49.67,3070.0
Costa Rica,1993,54.43000000000001,3342.0
Costa Rica,1994,63.650000000000006,3562.0
Costa Rica,1995,21.810000000000002,3672.0
Costa Rica,1996,86.84,3639.0
Costa Rica,1997,10.69,3827.0
Costa Rica,1998,58.5,4046.0
Costa Rica,1999,78.34,4115.0
Costa Rica,2000,10.6,4233.0
Costa Rica,2001,55.26,4412.0
Costa Rica,2002,84.0,4485.0
Costa Rica,2003,53.84,4583.0
Costa Rica,2004,87.29,4850.0
Costa Rica,2005,18.8,5133.0
Costa Rica,2006,70.42,5716.0
Costa Rica,2007,37.14,6661.0
Costa Rica,2008,61.48,7517.0
Costa Rica,2009,67.54,7403.0
Costa Rica,2010,23.58,8906.0
Costa Rica,2011,64.55,9978.0
Costa Rica,2012,70.56,10832.0
Costa Rica,2013,26.049999999999997,11443.0
Costa Rica,2014,58.5,11485.0
Costa Rica,2017,3.7045625390000003,12225.57449
Costa Rica,2018,4.225575085,12485.4239
Costa Rica,2019,3.363141385,12693.82796
Costa Rica,2020,4.430906648,12140.85415
Croatia,1995,66.19,4978.0
Croatia,1996,187.81,5610.0
Croatia,1997,79.31,5546.0
Croatia,1998,78.27,6015.0
Croatia,1999,150.42000000000002,5459.0
Croatia,2000,72.86,5288.0
Croatia,2001,62.870000000000005,5571.0
Croatia,2002,180.75,6373.0
Croatia,2003,79.42,8202.0
Croatia,2004,60.35,9829.0
Croatia,2005,209.75,10722.0
Croatia,2006,115.4,11914.0
Croatia,2007,177.24,14204.0
Croatia,2008,166.69,16680.0
Croatia,2009,62.97,14872.0
Croatia,2010,116.21,14232.0
Croatia,2011,153.09,14890.0
Croatia,2012,47.46,13952.0
Croatia,2013,68.5,14362.0
Croatia,2014,174.26999999999998,14299.0
Croatia,2015,107.47,12351.0
Croatia,2016,156.46,12905.0
Croatia,2017,5.139978339000001,13629.28959
Croatia,2019,3.443820101,15311.7669
Cuba,1992,140.5,2227.0
Cuba,1993,130.54,2236.0
Cuba,1994,108.07,2820.0
Cuba,1995,115.49000000000001,2993.0
Cuba,1996,114.39,2443.0
Cuba,1997,230.62,2472.0
Cuba,1998,97.81,2497.0
Cuba,1999,204.79000000000002,2741.0
Cuba,2000,74.73,2940.0
Cuba,2001,87.6,3037.0
Cuba,2002,81.78,3205.0
Cuba,2003,47.1,3409.0
Cuba,2004,74.21000000000001,3611.0
Cuba,2005,44.93,4017.0
Cuba,2006,34.11,4951.0
Cuba,2007,142.84,5488.0
Cuba,2008,142.23,5686.0
Cuba,2009,73.87,5797.0
Cuba,2010,36.78,5997.0
Cuba,2011,149.43,6419.0
Cuba,2012,36.06,6791.0
Cuba,2013,155.78,7148.0
Cuba,2014,100.53,7459.0
Cuba,2015,160.24,8044.0
Cuba,2017,2.999187132,8541.213686
Cuba,2018,2.7630054569999998,8824.194008
Cuba,2019,2.315163161,9125.878679
Cyprus,1999,1.57,12389.0
Cyprus,2000,8.36,11635.0
Cyprus,2004,6.12,25227.0
Cyprus,2005,15.670000000000002,26671.0
Cyprus,2006,18.77,28600.0
Cyprus,2007,21.6,33048.0
Cyprus,2008,27.43,37267.0
Cyprus,2009,33.28,33816.0
Cyprus,2010,35.269999999999996,32477.0
Cyprus,2011,12.01,34249.0
Cyprus,2012,17.49,30752.0
Cyprus,2013,60.27,29624.0
Cyprus,2014,37.22,29024.0
Cyprus,2015,17.83,24718.0
Cyprus,2016,22.0,25098.0
Cyprus,2017,2.399623341,26608.875089999998
Cyprus,2018,2.133191557,29334.110930000003
Czech Republic,1990,206.5,4168.0
Czech Republic,1991,127.34,3070.0
Czech Republic,1992,234.73000000000002,3573.0
Czech Republic,1993,226.69,4186.0
Czech Republic,1994,106.1,4891.0
Czech Republic,1995,139.1,6134.0
Czech Republic,1996,194.17000000000002,6861.0
Czech Republic,1997,58.03,6314.0
Czech Republic,1998,128.01,6779.0
Czech Republic,1999,194.98000000000002,6606.0
Czech Republic,2000,57.36,6278.0
Czech Republic,2001,182.23000000000002,6863.0
Czech Republic,2002,144.26,8399.0
Czech Republic,2003,154.74,10220.0
Czech Republic,2004,167.2,12226.0
Czech Republic,2005,159.7,13961.0
Czech Republic,2006,150.36,15896.0
Czech Republic,2007,27.47,19273.0
Czech Republic,2008,147.57,23811.0
Czech Republic,2009,25.89,20748.0
Czech Republic,2010,147.86,20862.0
Czech Republic,2011,55.459999999999994,23010.0
Czech Republic,2012,167.18,20898.0
Czech Republic,2013,156.94,21073.0
Czech Republic,2014,143.65,20859.0
Czech Republic,2015,105.33,18703.0
Czech Republic,2016,135.04,19505.0
Czech Republic,2017,7.607765509,20636.19995
Czech Republic,2018,9.473253252,23419.73561
Czech Republic,2019,8.021087214000001,23660.14881
Czech Republic,2020,8.169859798,22931.2746
Denmark,1994,177.8,32034.0
Denmark,1995,136.45,37841.0
Denmark,1996,123.38,38158.0
Denmark,1997,159.54,35148.0
Denmark,1998,130.15,35710.0
Denmark,1999,141.09,35763.0
Denmark,2000,136.47,32841.0
Denmark,2001,72.69,32837.0
Denmark,2002,134.37,35435.0
Denmark,2003,34.16,43129.0
Denmark,2004,40.0,49552.0
Denmark,2005,125.03,51960.0
Denmark,2006,124.63,55354.0
Denmark,2007,41.9,62229.0
Denmark,2008,106.02,68447.0
Denmark,2009,111.81,61863.0
Denmark,2010,84.48,61711.0
Denmark,2011,94.86,65598.0
Denmark,2012,111.22999999999999,62071.0
Denmark,2013,36.629999999999995,64831.0
Denmark,2014,103.73,66114.0
Denmark,2015,86.03,55972.0
Denmark,2017,3.261069422,57610.09818
Denmark,2018,5.057273187,61591.92887
Dominican Republic,2017,4.470640478,7609.353275
Dominican Republic,2018,1.79275876,8050.644076
Ecuador,1985,19.73,2238.0
Ecuador,1986,51.68,1943.0
Ecuador,1987,45.870000000000005,1669.0
Ecuador,1988,55.86,1519.0
Ecuador,1989,49.6,1619.0
Ecuador,1990,27.020000000000003,1732.0
Ecuador,1991,39.79,1869.0
Ecuador,1992,20.71,1955.0
Ecuador,1993,40.21,1996.0
Ecuador,1994,24.060000000000002,2335.0
Ecuador,1995,49.5,2453.0
Ecuador,1996,56.29,2474.0
Ecuador,1997,49.629999999999995,2701.0
Ecuador,1998,38.69,2626.0
Ecuador,1999,38.83,1805.0
Ecuador,2000,24.57,1650.0
Ecuador,2001,44.0,2160.0
Ecuador,2002,43.11,2472.0
Ecuador,2003,34.82,2755.0
Ecuador,2004,30.06,3051.0
Ecuador,2005,74.53,3397.0
Ecuador,2006,34.05,3759.0
Ecuador,2007,22.96,4024.0
Ecuador,2008,74.47,4787.0
Ecuador,2009,31.43,4762.0
Ecuador,2010,59.39,5206.0
Ecuador,2011,60.82,5836.0
Ecuador,2012,28.91,6364.0
Ecuador,2013,14.49,6769.0
Ecuador,2014,40.69,7116.0
Ecuador,2015,20.63,6832.0
Ecuador,2017,3.713254354,6213.503127
Ecuador,2018,3.4438839679999997,6295.934662
Ecuador,2019,3.257659535,6222.524653
Ecuador,2020,2.9678322799999997,5600.389615
Egypt,2017,0.023578096,2444.290387
Egypt,2018,0.043377354,2537.125185
Egypt,2019,0.017042441000000002,3019.092283
El Salvador,1990,125.63,1068.0
El Salvador,1991,64.89999999999999,1148.0
El Salvador,1992,87.09,1266.0
El Salvador,1993,80.77,1423.0
El Salvador,1995,47.370000000000005,1845.0
El Salvador,1996,85.06,1959.0
El Salvador,1997,85.93,2065.0
El Salvador,1998,55.97,2185.0
El Salvador,1999,96.42,2229.0
El Salvador,2000,67.79,2303.0
El Salvador,2001,88.06,2373.0
El Salvador,2002,89.25,2421.0
El Salvador,2003,71.17,2507.0
El Salvador,2004,33.29,2573.0
El Salvador,2005,80.89,2733.0
El Salvador,2006,77.31,2947.0
El Salvador,2007,29.080000000000002,3111.0
El Salvador,2008,65.3,3271.0
El Salvador,2009,102.76,3184.0
El Salvador,2010,17.73,3318.0
El Salvador,2011,93.3,3631.0
El Salvador,2012,102.16,3806.0
El Salvador,2013,79.84,3885.0
El Salvador,2014,50.07,3965.0
El Salvador,2017,1.276598325,3910.2544030000004
El Salvador,2018,1.529553361,4052.624775
Estonia,1995,441.4,3224.0
Estonia,1996,364.74,3536.0
Estonia,1997,80.98,3806.0
Estonia,1998,304.59999999999997,4250.0
Estonia,1999,403.28,4361.0
Estonia,2000,296.89,4262.0
Estonia,2001,288.82,4711.0
Estonia,2002,62.879999999999995,5561.0
Estonia,2003,277.35,7523.0
Estonia,2004,175.38,9293.0
Estonia,2005,161.77,10870.0
Estonia,2006,191.02,13264.0
Estonia,2007,99.24000000000001,17504.0
Estonia,2008,199.67000000000002,19141.0
Estonia,2009,206.06,15609.0
Estonia,2010,192.49,15540.0
Estonia,2011,195.74,18545.0
Estonia,2012,143.14,18411.0
Estonia,2013,42.28,20221.0
Estonia,2014,184.57,21117.0
Estonia,2015,176.81,18149.0
Estonia,2017,12.373005897,20387.28315
Estonia,2018,10.590199375,23052.301259999997
Estonia,2019,7.536374311,23397.12001
Estonia,2020,12.410475343,23027.027
Fiji,2001,24.71,2307.0
Fiji,2002,59.51,2548.0
Fiji,2003,13.79,3192.0
Fiji,2004,63.190000000000005,3744.0
Fiji,2005,36.59,4104.0
Fiji,2006,18.759999999999998,4206.0
Fiji,2007,13.61,4570.0
Fiji,2008,21.119999999999997,4675.0
Fiji,2009,36.650000000000006,3765.0
Fiji,2011,75.96,4862.0
Fiji,2012,31.72,5073.0
