data_id,country,year,sex,age,suicides_no,population,suicides/100k pop,generation,gdp_for_year,gdp_per_capita
1429,Australia,1985,male,55-74 years,282,1177400,23.95,G.I. Generation,"1,80,19,09,94,861",12374.0
1430,Australia,1985,male,15-24 years,315,1355800,23.23,Generation X,"1,80,19,09,94,861",12374.0
1431,Australia,1985,male,35-54 years,411,1906800,21.55,Silent,"1,80,19,09,94,861",12374.0
1432,Australia,1985,female,75+ years,36,382900,9.4,G.I. Generation,"1,80,19,09,94,861",12374.0
1433,Australia,1985,female,55-74 years,109,1286900,8.47,G.I. Generation,"1,80,19,09,94,861",12374.0
1434,Australia,1985,female,35-54 years,143,1832700,7.8,Silent,"1,80,19,09,94,861",12374.0
1435,Australia,1985,female,15-24 years,69,1304000,5.29,Generation X,"1,80,19,09,94,861",12374.0
1436,Australia,1985,female,25-34 years,64,1275900,5.02,Boomers,"1,80,19,09,94,861",12374.0
1437,Australia,1985,female,5-14 years,4,1231400,0.32,Generation X,"1,80,19,09,94,861",12374.0
1438,Australia,1985,male,5-14 years,4,1290600,0.31,Generation X,"1,80,19,09,94,861",12374.0
16576,Mexico,1985,female,5-14 years,20,10654000,0.19,Generation X,"1,84,47,25,57,415",2730.0
16575,Mexico,1985,male,5-14 years,48,11029000,0.44,Generation X,"1,84,47,25,57,415",2730.0
15315,Luxembourg,1985,male,15-24 years,2,28100,7.12,Generation X,"4,73,85,59,685",13743.0
16574,Mexico,1985,female,55-74 years,15,2651000,0.57,G.I. Generation,"1,84,47,25,57,415",2730.0
16572,Mexico,1985,female,25-34 years,61,5661000,1.08,Boomers,"1,84,47,25,57,415",2730.0
16571,Mexico,1985,female,75+ years,7,563000,1.24,G.I. Generation,"1,84,47,25,57,415",2730.0
16570,Mexico,1985,female,15-24 years,107,8211000,1.3,Generation X,"1,84,47,25,57,415",2730.0
16569,Mexico,1985,male,15-24 years,375,8420000,4.45,Generation X,"1,84,47,25,57,415",2730.0
16568,Mexico,1985,male,35-54 years,327,5836000,5.6,Silent,"1,84,47,25,57,415",2730.0
16567,Mexico,1985,male,25-34 years,340,5679000,5.99,Boomers,"1,84,47,25,57,415",2730.0
16566,Mexico,1985,male,55-74 years,145,2330000,6.22,G.I. Generation,"1,84,47,25,57,415",2730.0
16565,Mexico,1985,male,75+ years,44,432000,10.19,G.I. Generation,"1,84,47,25,57,415",2730.0
5276,Chile,1985,female,5-14 years,1,1203800,0.08,Generation X,"17,70,28,85,394",1658.0
5275,Chile,1985,male,5-14 years,9,1240900,0.73,Generation X,"17,70,28,85,394",1658.0
5274,Chile,1985,female,25-34 years,19,957500,1.98,Boomers,"17,70,28,85,394",1658.0
5273,Chile,1985,female,75+ years,3,141200,2.12,G.I. Generation,"17,70,28,85,394",1658.0
5272,Chile,1985,female,15-24 years,27,1216200,2.22,Generation X,"17,70,28,85,394",1658.0
5271,Chile,1985,female,35-54 years,40,1252200,3.19,Silent,"17,70,28,85,394",1658.0
16573,Mexico,1985,female,35-54 years,55,6100000,0.9,Silent,"1,84,47,25,57,415",2730.0
7706,Ecuador,1985,female,5-14 years,4,1262600,0.32,Generation X,"17,14,90,94,590",2238.0
15314,Luxembourg,1985,male,5-14 years,2,21700,9.22,Generation X,"4,73,85,59,685",13743.0
15312,Luxembourg,1985,female,35-54 years,5,47900,10.44,Silent,"4,73,85,59,685",13743.0
4182,Brazil,1985,female,15-24 years,280,13751800,2.04,Generation X,"2,22,94,27,90,435",1898.0
4181,Brazil,1985,female,35-54 years,296,12185200,2.43,Silent,"2,22,94,27,90,435",1898.0
4180,Brazil,1985,female,25-34 years,269,10798700,2.49,Boomers,"2,22,94,27,90,435",1898.0
4179,Brazil,1985,female,55-74 years,148,5650100,2.62,G.I. Generation,"2,22,94,27,90,435",1898.0
4178,Brazil,1985,female,75+ years,32,988100,3.24,G.I. Generation,"2,22,94,27,90,435",1898.0
4177,Brazil,1985,male,15-24 years,661,13834000,4.78,Generation X,"2,22,94,27,90,435",1898.0
4176,Brazil,1985,male,25-34 years,791,10762900,7.35,Boomers,"2,22,94,27,90,435",1898.0
4175,Brazil,1985,male,35-54 years,1011,11986300,8.43,Silent,"2,22,94,27,90,435",1898.0
4174,Brazil,1985,male,55-74 years,535,5364900,9.97,G.I. Generation,"2,22,94,27,90,435",1898.0
4173,Brazil,1985,male,75+ years,129,840300,15.35,G.I. Generation,"2,22,94,27,90,435",1898.0
22401,Singapore,1985,male,75+ years,23,15900,144.65,G.I. Generation,"19,13,82,96,376",8142.0
22402,Singapore,1985,female,75+ years,19,24500,77.55,G.I. Generation,"19,13,82,96,376",8142.0
22403,Singapore,1985,male,55-74 years,39,122400,31.86,G.I. Generation,"19,13,82,96,376",8142.0
22404,Singapore,1985,female,55-74 years,25,125100,19.98,G.I. Generation,"19,13,82,96,376",8142.0
22405,Singapore,1985,male,25-34 years,52,280500,18.54,Boomers,"19,13,82,96,376",8142.0
14186,Kuwait,1985,female,35-54 years,1,121900,0.82,Silent,"21,44,26,19,681",14607.0
14185,Kuwait,1985,male,15-24 years,2,150900,1.33,Generation X,"21,44,26,19,681",14607.0
14184,Kuwait,1985,female,25-34 years,2,136200,1.47,Boomers,"21,44,26,19,681",14607.0
14183,Kuwait,1985,male,25-34 years,5,228000,2.19,Boomers,"21,44,26,19,681",14607.0
14182,Kuwait,1985,male,35-54 years,6,235600,2.55,Silent,"21,44,26,19,681",14607.0
14181,Kuwait,1985,male,55-74 years,1,35200,2.84,G.I. Generation,"21,44,26,19,681",14607.0
22406,Singapore,1985,male,35-54 years,49,292500,16.75,Silent,"19,13,82,96,376",8142.0
22407,Singapore,1985,female,25-34 years,35,266700,13.12,Boomers,"19,13,82,96,376",8142.0
22408,Singapore,1985,male,15-24 years,27,268000,10.07,Generation X,"19,13,82,96,376",8142.0
22409,Singapore,1985,female,15-24 years,25,253400,9.87,Generation X,"19,13,82,96,376",8142.0
22410,Singapore,1985,female,35-54 years,27,285200,9.47,Silent,"19,13,82,96,376",8142.0
22411,Singapore,1985,female,5-14 years,3,200400,1.5,Generation X,"19,13,82,96,376",8142.0
10023,Greece,1985,male,75+ years,35,233300,15.0,G.I. Generation,"47,82,08,50,975",5156.0
10024,Greece,1985,male,55-74 years,85,874300,9.72,G.I. Generation,"47,82,08,50,975",5156.0
4183,Brazil,1985,female,5-14 years,41,15622900,0.26,Generation X,"2,22,94,27,90,435",1898.0
4184,Brazil,1985,male,5-14 years,35,15693700,0.22,Generation X,"2,22,94,27,90,435",1898.0
22188,Seychelles,1985,female,15-24 years,1,7500,13.33,Generation X,"16,88,87,539",2947.0
22187,Seychelles,1985,male,55-74 years,1,2800,35.71,G.I. Generation,"16,88,87,539",2947.0
15311,Luxembourg,1985,female,25-34 years,6,29800,20.13,Boomers,"4,73,85,59,685",13743.0
15310,Luxembourg,1985,male,35-54 years,12,50200,23.9,Silent,"4,73,85,59,685",13743.0
15309,Luxembourg,1985,female,75+ years,4,13500,29.63,G.I. Generation,"4,73,85,59,685",13743.0
15308,Luxembourg,1985,male,55-74 years,14,30200,46.36,G.I. Generation,"4,73,85,59,685",13743.0
15307,Luxembourg,1985,male,75+ years,6,6900,86.96,G.I. Generation,"4,73,85,59,685",13743.0
4554,Bulgaria,1985,female,15-24 years,31,575700,5.38,Generation X,"17,15,54,21,053",2044.0
4553,Bulgaria,1985,female,25-34 years,36,619200,5.81,Boomers,"17,15,54,21,053",2044.0
4552,Bulgaria,1985,female,35-54 years,91,1228400,7.41,Silent,"17,15,54,21,053",2044.0
4551,Bulgaria,1985,male,15-24 years,77,603600,12.76,Generation X,"17,15,54,21,053",2044.0
4550,Bulgaria,1985,male,25-34 years,105,624800,16.81,Boomers,"17,15,54,21,053",2044.0
4549,Bulgaria,1985,female,55-74 years,168,952200,17.64,G.I. Generation,"17,15,54,21,053",2044.0
4548,Bulgaria,1985,male,35-54 years,278,1217500,22.83,Silent,"17,15,54,21,053",2044.0
4547,Bulgaria,1985,male,55-74 years,345,881600,39.13,G.I. Generation,"17,15,54,21,053",2044.0
4546,Bulgaria,1985,female,75+ years,94,222700,42.21,G.I. Generation,"17,15,54,21,053",2044.0
15313,Luxembourg,1985,male,25-34 years,3,29900,10.03,Boomers,"4,73,85,59,685",13743.0
4545,Bulgaria,1985,male,75+ years,218,166200,131.17,G.I. Generation,"17,15,54,21,053",2044.0
9088,France,1985,male,55-74 years,2363,4471600,52.84,G.I. Generation,"5,53,13,84,14,367",10765.0
9089,France,1985,male,35-54 years,2752,6799400,40.47,Silent,"5,53,13,84,14,367",10765.0
9090,France,1985,male,25-34 years,1492,4240100,35.19,Boomers,"5,53,13,84,14,367",10765.0
19358,Portugal,1985,male,55-74 years,245,805542,30.41,G.I. Generation,"27,11,84,76,174",2912.0
9092,France,1985,female,55-74 years,1218,5255800,23.17,G.I. Generation,"5,53,13,84,14,367",10765.0
9093,France,1985,male,15-24 years,740,4349200,17.01,Generation X,"5,53,13,84,14,367",10765.0
9094,France,1985,female,35-54 years,1065,6652100,16.01,Silent,"5,53,13,84,14,367",10765.0
9095,France,1985,female,25-34 years,447,4213300,10.61,Boomers,"5,53,13,84,14,367",10765.0
9096,France,1985,female,15-24 years,197,4220700,4.67,Generation X,"5,53,13,84,14,367",10765.0
9097,France,1985,male,5-14 years,29,3837000,0.76,Generation X,"5,53,13,84,14,367",10765.0
9098,France,1985,female,5-14 years,6,3645600,0.16,Generation X,"5,53,13,84,14,367",10765.0
21633,Saint Vincent and the Grenadines,1985,male,35-54 years,2,6100,32.79,Silent,"14,56,41,704",1622.0
22185,Seychelles,1985,male,35-54 years,3,4400,68.18,Silent,"16,88,87,539",2947.0
22186,Seychelles,1985,male,15-24 years,3,7700,38.96,Generation X,"16,88,87,539",2947.0
9087,France,1985,male,75+ years,1522,1263200,120.49,G.I. Generation,"5,53,13,84,14,367",10765.0
10025,Greece,1985,male,35-54 years,82,1248900,6.57,Silent,"47,82,08,50,975",5156.0
7705,Ecuador,1985,male,5-14 years,7,1307600,0.54,Generation X,"17,14,90,94,590",2238.0
7703,Ecuador,1985,female,35-54 years,15,692800,2.17,Silent,"17,14,90,94,590",2238.0
18267,Panama,1985,male,35-54 years,14,190000,7.37,Silent,"6,54,15,17,100",3443.0
18266,Panama,1985,male,25-34 years,15,168000,8.93,Boomers,"6,54,15,17,100",3443.0
18265,Panama,1985,male,75+ years,3,15000,20.0,G.I. Generation,"6,54,15,17,100",3443.0
6014,Costa Rica,1985,female,15-24 years,8,274800,2.91,Generation X,"4,79,66,28,461",2145.0
6013,Costa Rica,1985,male,75+ years,1,13000,7.69,G.I. Generation,"4,79,66,28,461",2145.0
6012,Costa Rica,1985,male,15-24 years,33,285800,11.55,Generation X,"4,79,66,28,461",2145.0
6011,Costa Rica,1985,male,55-74 years,12,91000,13.19,G.I. Generation,"4,79,66,28,461",2145.0
6010,Costa Rica,1985,male,25-34 years,32,219000,14.61,Boomers,"4,79,66,28,461",2145.0
6009,Costa Rica,1985,male,35-54 years,32,218000,14.68,Silent,"4,79,66,28,461",2145.0
19681,Puerto Rico,1985,male,75+ years,25,46600,53.65,G.I. Generation,"20,28,92,00,000",6582.0
19682,Puerto Rico,1985,male,55-74 years,66,200900,32.85,G.I. Generation,"20,28,92,00,000",6582.0
19683,Puerto Rico,1985,male,35-54 years,70,322500,21.71,Silent,"20,28,92,00,000",6582.0
19684,Puerto Rico,1985,male,25-34 years,43,235800,18.24,Boomers,"20,28,92,00,000",6582.0
19685,Puerto Rico,1985,male,15-24 years,28,321500,8.71,Generation X,"20,28,92,00,000",6582.0
19686,Puerto Rico,1985,female,75+ years,4,53900,7.42,G.I. Generation,"20,28,92,00,000",6582.0
19687,Puerto Rico,1985,female,55-74 years,11,214700,5.12,G.I. Generation,"20,28,92,00,000",6582.0
19688,Puerto Rico,1985,female,25-34 years,8,267500,2.99,Boomers,"20,28,92,00,000",6582.0
19689,Puerto Rico,1985,female,35-54 years,8,361600,2.21,Silent,"20,28,92,00,000",6582.0
19690,Puerto Rico,1985,female,15-24 years,3,336300,0.89,Generation X,"20,28,92,00,000",6582.0
19691,Puerto Rico,1985,male,5-14 years,2,368000,0.54,Generation X,"20,28,92,00,000",6582.0
19692,Puerto Rico,1985,female,5-14 years,1,353200,0.28,Generation X,"20,28,92,00,000",6582.0
5648,Colombia,1985,female,5-14 years,10,3360000,0.3,Generation X,"34,89,44,11,352",1393.0
5647,Colombia,1985,male,5-14 years,12,3443900,0.35,Generation X,"34,89,44,11,352",1393.0
5646,Colombia,1985,female,55-74 years,12,1150600,1.04,G.I. Generation,"34,89,44,11,352",1393.0
5645,Colombia,1985,female,35-54 years,31,2403500,1.29,Silent,"34,89,44,11,352",1393.0
5644,Colombia,1985,female,75+ years,3,174000,1.72,G.I. Generation,"34,89,44,11,352",1393.0
5643,Colombia,1985,female,25-34 years,45,2276100,1.98,Boomers,"34,89,44,11,352",1393.0
5642,Colombia,1985,female,15-24 years,117,3140700,3.73,Generation X,"34,89,44,11,352",1393.0
17460,New Zealand,1985,male,5-14 years,2,282800,0.71,Generation X,"24,95,08,95,141",8246.0
18268,Panama,1985,male,15-24 years,10,233200,4.29,Generation X,"6,54,15,17,100",3443.0
18269,Panama,1985,female,55-74 years,3,83000,3.61,G.I. Generation,"6,54,15,17,100",3443.0
18270,Panama,1985,male,55-74 years,2,87000,2.3,G.I. Generation,"6,54,15,17,100",3443.0
18271,Panama,1985,female,25-34 years,3,160000,1.88,Boomers,"6,54,15,17,100",3443.0
19359,Portugal,1985,male,35-54 years,185,1103803,16.76,Silent,"27,11,84,76,174",2912.0
19360,Portugal,1985,female,75+ years,39,288221,13.53,G.I. Generation,"27,11,84,76,174",2912.0
19361,Portugal,1985,male,25-34 years,87,703271,12.37,Boomers,"27,11,84,76,174",2912.0
19362,Portugal,1985,female,55-74 years,98,982911,9.97,G.I. Generation,"27,11,84,76,174",2912.0
19363,Portugal,1985,male,15-24 years,81,849013,9.54,Generation X,"27,11,84,76,174",2912.0
19364,Portugal,1985,female,35-54 years,77,1216115,6.33,Silent,"27,11,84,76,174",2912.0
19365,Portugal,1985,female,15-24 years,41,832177,4.93,Generation X,"27,11,84,76,174",2912.0
19366,Portugal,1985,female,25-34 years,31,712806,4.35,Boomers,"27,11,84,76,174",2912.0
19367,Portugal,1985,male,5-14 years,6,846549,0.71,Generation X,"27,11,84,76,174",2912.0
19368,Portugal,1985,female,5-14 years,4,812968,0.49,Generation X,"27,11,84,76,174",2912.0
18575,Paraguay,1985,male,5-14 years,1,471865,0.21,Generation X,"2,96,62,34,106",964.0
18574,Paraguay,1985,female,35-54 years,3,278563,1.08,Silent,"2,96,62,34,106",964.0
18573,Paraguay,1985,female,5-14 years,5,457364,1.09,Generation X,"2,96,62,34,106",964.0
18572,Paraguay,1985,male,25-34 years,4,269355,1.49,Boomers,"2,96,62,34,106",964.0
17459,New Zealand,1985,female,5-14 years,3,272300,1.1,Generation X,"24,95,08,95,141",8246.0
18571,Paraguay,1985,female,25-34 years,6,258525,2.32,Boomers,"2,96,62,34,106",964.0
18569,Paraguay,1985,female,15-24 years,9,362788,2.48,Generation X,"2,96,62,34,106",964.0
18568,Paraguay,1985,female,55-74 years,4,139742,2.86,G.I. Generation,"2,96,62,34,106",964.0
18567,Paraguay,1985,male,35-54 years,11,288558,3.81,Silent,"2,96,62,34,106",964.0
18566,Paraguay,1985,male,55-74 years,8,128809,6.21,G.I. Generation,"2,96,62,34,106",964.0
18565,Paraguay,1985,male,75+ years,3,19395,15.47,G.I. Generation,"2,96,62,34,106",964.0
11676,Iceland,1985,male,55-74 years,5,16400,30.49,G.I. Generation,"2,93,98,45,038",13357.0
6019,Costa Rica,1985,female,5-14 years,1,288800,0.35,Generation X,"4,79,66,28,461",2145.0
6018,Costa Rica,1985,male,5-14 years,2,300800,0.66,Generation X,"4,79,66,28,461",2145.0
6017,Costa Rica,1985,female,55-74 years,1,97000,1.03,G.I. Generation,"4,79,66,28,461",2145.0
6016,Costa Rica,1985,female,35-54 years,3,216000,1.39,Silent,"4,79,66,28,461",2145.0
6015,Costa Rica,1985,female,25-34 years,3,214000,1.4,Boomers,"4,79,66,28,461",2145.0
18274,Panama,1985,female,5-14 years,1,263200,0.38,Generation X,"6,54,15,17,100",3443.0
18273,Panama,1985,female,35-54 years,1,182000,0.55,Silent,"6,54,15,17,100",3443.0
18272,Panama,1985,female,15-24 years,4,228100,1.75,Generation X,"6,54,15,17,100",3443.0
18570,Paraguay,1985,male,15-24 years,9,375543,2.4,Generation X,"2,96,62,34,106",964.0
7704,Ecuador,1985,female,55-74 years,4,303000,1.32,G.I. Generation,"17,14,90,94,590",2238.0
17458,New Zealand,1985,female,75+ years,4,81500,4.91,G.I. Generation,"24,95,08,95,141",8246.0
17456,New Zealand,1985,female,15-24 years,15,291600,5.14,Generation X,"24,95,08,95,141",8246.0
26851,United States,1985,male,25-34 years,5134,20986000,24.46,Boomers,"43,46,73,40,00,000",19693.0
26852,United States,1985,male,35-54 years,6053,26589000,22.77,Silent,"43,46,73,40,00,000",19693.0
26853,United States,1985,male,15-24 years,4267,19962000,21.38,Generation X,"43,46,73,40,00,000",19693.0
26854,United States,1985,female,35-54 years,2105,27763000,7.58,Silent,"43,46,73,40,00,000",19693.0
26855,United States,1985,female,55-74 years,1568,21366000,7.34,G.I. Generation,"43,46,73,40,00,000",19693.0
26856,United States,1985,female,75+ years,466,7469000,6.24,G.I. Generation,"43,46,73,40,00,000",19693.0
26857,United States,1985,female,25-34 years,1242,21041000,5.9,Boomers,"43,46,73,40,00,000",19693.0
26858,United States,1985,female,15-24 years,854,19589000,4.36,Generation X,"43,46,73,40,00,000",19693.0
26859,United States,1985,male,5-14 years,205,17370000,1.18,Generation X,"43,46,73,40,00,000",19693.0
26860,United States,1985,female,5-14 years,73,16553000,0.44,Generation X,"43,46,73,40,00,000",19693.0
20232,Republic of Korea,1985,male,55-74 years,393,1498300,26.23,G.I. Generation,"1,00,27,30,97,170",2731.0
20233,Republic of Korea,1985,male,35-54 years,903,4285700,21.07,Silent,"1,00,27,30,97,170",2731.0
20234,Republic of Korea,1985,male,25-34 years,655,3616800,18.11,Boomers,"1,00,27,30,97,170",2731.0
20235,Republic of Korea,1985,male,15-24 years,678,4413000,15.36,Generation X,"1,00,27,30,97,170",2731.0
20236,Republic of Korea,1985,female,75+ years,38,370700,10.25,G.I. Generation,"1,00,27,30,97,170",2731.0
20237,Republic of Korea,1985,female,55-74 years,161,2000500,8.05,G.I. Generation,"1,00,27,30,97,170",2731.0
20238,Republic of Korea,1985,female,15-24 years,296,4148300,7.14,Generation X,"1,00,27,30,97,170",2731.0
20239,Republic of Korea,1985,female,25-34 years,228,3568800,6.39,Boomers,"1,00,27,30,97,170",2731.0
20240,Republic of Korea,1985,female,35-54 years,262,4267400,6.14,Silent,"1,00,27,30,97,170",2731.0
20241,Republic of Korea,1985,male,5-14 years,20,4336000,0.46,Generation X,"1,00,27,30,97,170",2731.0
20242,Republic of Korea,1985,female,5-14 years,13,4056400,0.32,Generation X,"1,00,27,30,97,170",2731.0
7695,Ecuador,1985,male,75+ years,8,40000,20.0,G.I. Generation,"17,14,90,94,590",2238.0
7696,Ecuador,1985,male,25-34 years,70,610800,11.46,Boomers,"17,14,90,94,590",2238.0
7697,Ecuador,1985,male,55-74 years,33,289000,11.42,G.I. Generation,"17,14,90,94,590",2238.0
7698,Ecuador,1985,male,15-24 years,104,915700,11.36,Generation X,"17,14,90,94,590",2238.0
7699,Ecuador,1985,male,35-54 years,57,692800,8.23,Silent,"17,14,90,94,590",2238.0
7700,Ecuador,1985,female,15-24 years,58,897700,6.46,Generation X,"17,14,90,94,590",2238.0
7701,Ecuador,1985,female,25-34 years,31,600800,5.16,Boomers,"17,14,90,94,590",2238.0
7702,Ecuador,1985,female,75+ years,2,49000,4.08,G.I. Generation,"17,14,90,94,590",2238.0
26850,United States,1985,male,55-74 years,5302,17971000,29.5,G.I. Generation,"43,46,73,40,00,000",19693.0
26849,United States,1985,male,75+ years,2177,4064000,53.57,G.I. Generation,"43,46,73,40,00,000",19693.0
17067,Netherlands,1985,male,75+ years,106,258800,40.96,G.I. Generation,"1,42,00,99,22,306",10428.0
17068,Netherlands,1985,male,55-74 years,256,1108000,23.1,G.I. Generation,"1,42,00,99,22,306",10428.0
17455,New Zealand,1985,female,35-54 years,22,364600,6.03,Silent,"24,95,08,95,141",8246.0
17454,New Zealand,1985,female,55-74 years,26,259300,10.03,G.I. Generation,"24,95,08,95,141",8246.0
17453,New Zealand,1985,male,35-54 years,64,371200,17.24,Silent,"24,95,08,95,141",8246.0
17452,New Zealand,1985,male,15-24 years,60,305400,19.65,Generation X,"24,95,08,95,141",8246.0
17451,New Zealand,1985,male,25-34 years,51,255400,19.97,Boomers,"24,95,08,95,141",8246.0
17450,New Zealand,1985,male,55-74 years,60,235700,25.46,G.I. Generation,"24,95,08,95,141",8246.0
17449,New Zealand,1985,male,75+ years,18,46900,38.38,G.I. Generation,"24,95,08,95,141",8246.0
5641,Colombia,1985,male,35-54 years,188,2451100,7.67,Silent,"34,89,44,11,352",1393.0
5640,Colombia,1985,male,15-24 years,256,3190200,8.02,Generation X,"34,89,44,11,352",1393.0
5639,Colombia,1985,male,25-34 years,193,2323700,8.31,Boomers,"34,89,44,11,352",1393.0
5638,Colombia,1985,male,55-74 years,113,1015200,11.13,G.I. Generation,"34,89,44,11,352",1393.0
5637,Colombia,1985,male,75+ years,21,123400,17.02,G.I. Generation,"34,89,44,11,352",1393.0
20231,Republic of Korea,1985,male,75+ years,42,154800,27.13,G.I. Generation,"1,00,27,30,97,170",2731.0
25319,Trinidad and Tobago,1985,male,5-14 years,1,124000,0.81,Generation X,"7,37,59,18,367",7317.0
17457,New Zealand,1985,female,25-34 years,13,259100,5.02,Boomers,"24,95,08,95,141",8246.0
25318,Trinidad and Tobago,1985,female,25-34 years,2,93000,2.15,Boomers,"7,37,59,18,367",7317.0
25316,Trinidad and Tobago,1985,male,15-24 years,4,123000,3.25,Generation X,"7,37,59,18,367",7317.0
25315,Trinidad and Tobago,1985,male,55-74 years,2,51000,3.92,G.I. Generation,"7,37,59,18,367",7317.0
25314,Trinidad and Tobago,1985,male,25-34 years,8,93000,8.6,Boomers,"7,37,59,18,367",7317.0
25313,Trinidad and Tobago,1985,male,35-54 years,9,100000,9.0,Silent,"7,37,59,18,367",7317.0
17078,Netherlands,1985,female,5-14 years,2,950900,0.21,Generation X,"1,42,00,99,22,306",10428.0
17077,Netherlands,1985,male,5-14 years,5,995000,0.5,Generation X,"1,42,00,99,22,306",10428.0
17076,Netherlands,1985,female,15-24 years,38,1226200,3.1,Generation X,"1,42,00,99,22,306",10428.0
17075,Netherlands,1985,female,25-34 years,107,1156600,9.25,Boomers,"1,42,00,99,22,306",10428.0
17074,Netherlands,1985,male,15-24 years,136,1278200,10.64,Generation X,"1,42,00,99,22,306",10428.0
17073,Netherlands,1985,female,75+ years,51,474300,10.75,G.I. Generation,"1,42,00,99,22,306",10428.0
17072,Netherlands,1985,female,35-54 years,197,1792300,10.99,Silent,"1,42,00,99,22,306",10428.0
17071,Netherlands,1985,female,55-74 years,195,1297300,15.03,G.I. Generation,"1,42,00,99,22,306",10428.0
17070,Netherlands,1985,male,25-34 years,212,1202800,17.63,Boomers,"1,42,00,99,22,306",10428.0
17069,Netherlands,1985,male,35-54 years,333,1877900,17.73,Silent,"1,42,00,99,22,306",10428.0
25317,Trinidad and Tobago,1985,female,15-24 years,3,123000,2.44,Generation X,"7,37,59,18,367",7317.0
10026,Greece,1985,male,25-34 years,40,682900,5.86,Boomers,"47,82,08,50,975",5156.0
9091,France,1985,female,75+ years,670,2434600,27.52,G.I. Generation,"5,53,13,84,14,367",10765.0
10028,Greece,1985,female,55-74 years,47,1000100,4.7,G.I. Generation,"47,82,08,50,975",5156.0
23538,Spain,1985,female,15-24 years,43,3195300,1.35,Generation X,"1,80,30,24,12,231",5009.0
23539,Spain,1985,male,5-14 years,8,3295100,0.24,Generation X,"1,80,30,24,12,231",5009.0
